Produkt ID,Jednostka miary,Waga brutto,Waga netto,Jednostka wagi,Objetosc,Długosc,Szerokosc,Wysokosc,Indeks wymiar jednostka,Zawartosc,Zawartosc netto,Zawartosc brutto,Marka wlasna,OKRES_PRZYDATNOSCI_DNI,JEDNOSTKA_MIARY_MAGAZYN,LICZNIK_PRZELICZ_ZAWARTOSCI,MIANOWNIK_PRZELICZ_ZAWARTOSCI,PRZELICZNIK_ZAWARTOSCI,Liczba sztuk na palecie,Liczba sztuk w opakowaniu,Liczba sztuk w kartonie,Liczba sztuk w warstwie (palety),Cena zakupu,VAT
10990851,ST,0.78,0.78,KG,3600,12,12,25,CM,,0,0,  ,9999,OPA,6,1,6,540,6,6,60,XXX,XXX
10991091,ST,0.1,0.1,KG,124.32,0.4,21,14.8,CM,,0,0,  ,9999,ST,1,1,1,0,1,1,0,XXX,XXX
10991331,ST,0.101,0.101,KG,1100,10,10,11,CM,KG,0.07,0.07,  ,240,ST,1,1,1,0,6,6,0,XXX,XXX
12000067,ST,0.387,0.62,KG,462.5,5,5,18.5,CM,L,0.187,0.187,  ,9999,OPA,1,1,1,1470,1,6,294,XXX,XXX
12000307,ST,0.045,0.045,KG,115,1,10,11.5,CM,KG,0.04,0.04,  ,365,OPA,30,1,30,9600,30,30,960,XXX,XXX
12000547,ST,0.003,0.003,KG,8.25,0.3,2.5,11,CM,KG,0.002,0.002,  ,730,OPA,25,1,25,28000,25,400,4000,XXX,XXX
12000787,ST,0.6,0.6,KG,1053.5,7,7,21.5,CM,L,0.555,0.555,  ,180,OPA,6,1,6,1224,6,6,204,XXX,XXX
12001027,ST,0.291,0.291,KG,1436.4,19,14,5.4,CM,KG,0.24,0.24,  ,5,ST,1,1,1,0,1,1,0,XXX,XXX
12001267,ST,0.02,0.02,KG,135,2.5,6,9,CM,,0,0,  ,0,OPA,1,1,1,0,1,1,0,XXX,XXX
12001507,ST,0.02,0.02,KG,135,2.5,6,9,CM,,0,0,  ,0,OPA,1,1,1,0,1,1,0,XXX,XXX
12001747,ST,0.045,0.045,KG,340,2,10,17,CM,KG,0.04,0.04,  ,365,OPA,9,1,9,2025,9,9,405,XXX,XXX
12001987,ST,0.047,0.047,KG,31.5,1.5,14,1.5,CM,KG,0.045,0.045,  ,365,OPA,40,1,40,1600,40,40,400,XXX,XXX
12002227,ST,0.21,0.21,KG,508.95,4.5,8.7,13,CM,KG,0.21,0.21,  ,19,OPA,3,1,3,1458,3,9,162,XXX,XXX
12002467,ST,0.38,0.38,KG,518.669,5.9,5.9,14.9,CM,L,0.2,0.2,  ,270,OPA,8,1,8,2520,8,8,280,XXX,XXX
